,strike,bid,ask
2,100.0,50.25,51.1
5,129.0,21.4,22.4
6,130.0,20.55,21.45
7,131.0,19.55,20.45
8,132.0,18.4,19.4
9,134.0,16.5,17.5
10,135.0,15.55,16.55
11,136.0,14.6,15.4
13,138.0,12.85,13.45
14,139.0,11.85,12.55
15,140.0,11.55,11.9
16,141.0,10.65,10.75
17,142.0,9.65,9.85
18,143.0,8.85,9.0
19,144.0,8.0,8.2
20,145.0,7.3,7.45
21,146.0,6.5,6.65
22,147.0,5.9,6.05
23,148.0,5.2,5.3
24,149.0,4.65,4.75
25,150.0,4.1,4.15
26,152.5,2.92,2.95
27,155.0,1.98,2.01
28,157.5,1.33,1.35
29,160.0,0.86,0.89
30,162.5,0.56,0.58
31,165.0,0.37,0.39
32,167.5,0.25,0.27
33,170.0,0.18,0.2
34,172.5,0.13,0.15
35,175.0,0.1,0.12
36,177.5,0.08,0.1
37,180.0,0.06,0.08
38,185.0,0.04,0.06
39,190.0,0.03,0.05
40,195.0,0.02,0.04
41,210.0,0.0,0.02
