,strike,bid,ask
0,80.0,0.0,0.01
1,95.0,0.0,0.0
2,100.0,0.0,0.01
3,105.0,0.0,0.01
4,110.0,0.0,0.01
5,115.0,0.0,0.01
6,120.0,0.01,0.02
7,125.0,0.01,0.02
8,126.0,0.01,0.03
9,127.0,0.02,0.03
10,128.0,0.02,0.03
11,129.0,0.02,0.03
12,130.0,0.03,0.04
13,131.0,0.03,0.04
14,132.0,0.03,0.05
15,133.0,0.04,0.05
16,134.0,0.05,0.06
17,135.0,0.05,0.07
18,136.0,0.06,0.08
19,137.0,0.08,0.09
20,138.0,0.09,0.1
21,139.0,0.12,0.13
22,140.0,0.15,0.16
23,141.0,0.18,0.19
24,142.0,0.24,0.26
25,143.0,0.31,0.33
26,144.0,0.41,0.44
27,145.0,0.56,0.58
28,146.0,0.72,0.74
29,147.0,0.99,1.0
30,148.0,1.25,1.27
31,149.0,1.66,1.68
32,150.0,2.08,2.1
33,152.5,3.45,3.55
34,155.0,5.2,5.3
35,157.5,7.3,7.5
36,160.0,9.2,9.8
38,165.0,14.5,15.1
39,210.0,59.25,60.1
