contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
META231027C00020000,2023-09-25 14:13:19+00:00,20.0,278.13,278.65,282.25,0.0,0.0,7.0,7,4.148442314453126,True,REGULAR,USD
META231027C00100000,2023-09-12 14:59:46+00:00,100.0,204.0,199.1,202.6,0.0,0.0,,1,1.9223636694335937,True,REGULAR,USD
META231027C00120000,2023-09-18 16:22:24+00:00,120.0,183.2,178.85,182.8,0.0,0.0,,1,1.61328318359375,True,REGULAR,USD
META231027C00130000,2023-09-27 18:06:11+00:00,130.0,160.0,168.9,172.9,0.0,0.0,1.0,4,1.5107446337890624,True,REGULAR,USD
META231027C00140000,2023-09-13 13:30:13+00:00,140.0,163.52,158.95,162.95,0.0,0.0,,1,1.404299853515625,True,REGULAR,USD
META231027C00175000,2023-09-15 15:48:13+00:00,175.0,130.52,124.2,128.15,0.0,0.0,,1,1.080571003417969,True,REGULAR,USD
META231027C00180000,2023-09-26 13:42:08+00:00,180.0,119.19,119.25,123.2,0.0,0.0,3.0,4,1.0410204199218753,True,REGULAR,USD
META231027C00190000,2023-09-27 14:02:37+00:00,190.0,111.12,109.3,113.35,0.0,0.0,2.0,2,0.96289099609375,True,REGULAR,USD
META231027C00195000,2023-09-15 17:27:58+00:00,195.0,108.13,104.4,108.4,0.0,0.0,4.0,6,0.92773509765625,True,REGULAR,USD
META231027C00200000,2023-09-25 13:30:02+00:00,200.0,99.5,100.55,102.15,0.0,0.0,10.0,18,0.8740246972656249,True,REGULAR,USD
META231027C00205000,2023-09-18 14:40:21+00:00,205.0,97.89,95.6,97.25,0.0,0.0,4.0,7,0.8398453515625,True,REGULAR,USD
META231027C00210000,2023-09-27 18:22:51+00:00,210.0,82.21,90.65,92.3,0.0,0.0,3.0,26,0.8020039331054687,True,REGULAR,USD
META231027C00215000,2023-09-22 16:00:37+00:00,215.0,87.87,85.75,87.4,0.0,0.0,1.0,3,0.770510107421875,True,REGULAR,USD
META231027C00225000,2023-09-29 15:28:46+00:00,225.0,82.57,76.05,77.65,0.3199997,0.38905737,2.0,3,0.7128934960937501,True,REGULAR,USD
META231027C00230000,2023-09-14 14:10:55+00:00,230.0,77.75,71.2,74.0,0.0,0.0,,3,0.7354762780761719,True,REGULAR,USD
META231027C00235000,2023-09-25 13:44:35+00:00,235.0,64.65,66.45,68.05,0.0,0.0,2.0,4,0.6611362011718751,True,REGULAR,USD
META231027C00240000,2023-09-29 16:11:35+00:00,240.0,68.0,61.7,63.35,11.110001,19.528917,22.0,11,0.6381872119140625,True,REGULAR,USD
META231027C00245000,2023-09-20 17:24:19+00:00,245.0,62.5,57.05,58.7,0.0,0.0,,9,0.6178016735839844,True,REGULAR,USD
META231027C00250000,2023-09-26 13:49:11+00:00,250.0,51.99,51.9,53.9,0.0,0.0,1.0,13,0.5737347314453125,True,REGULAR,USD
META231027C00255000,2023-09-28 15:55:58+00:00,255.0,53.77,48.2,49.4,0.0,0.0,1.0,57,0.580204393310547,True,REGULAR,USD
META231027C00260000,2023-09-27 18:06:54+00:00,260.0,35.92,43.85,45.05,0.0,0.0,2.0,71,0.5653119641113282,True,REGULAR,USD
META231027C00265000,2023-09-27 18:28:18+00:00,265.0,33.55,39.65,40.85,0.0,0.0,1.0,54,0.5523726403808593,True,REGULAR,USD
META231027C00270000,2023-09-29 19:27:04+00:00,270.0,36.35,35.5,36.8,0.8499985,2.394362,6.0,60,0.5382736602783205,True,REGULAR,USD
META231027C00275000,2023-09-29 16:47:38+00:00,275.0,35.17,31.6,32.95,-0.33000183,-0.9295826,36.0,225,0.5273484765625001,True,REGULAR,USD
META231027C00280000,2023-09-29 17:37:35+00:00,280.0,29.53,27.85,29.05,-2.8599987,-8.829882,3.0,162,0.512272943725586,True,REGULAR,USD
META231027C00285000,2023-09-29 18:13:59+00:00,285.0,25.4,24.85,25.5,-3.0,-10.56338,57.0,544,0.5097094927978516,True,REGULAR,USD
META231027C00290000,2023-09-29 19:52:13+00:00,290.0,23.08,21.65,22.2,-1.0699997,-4.4306407,41.0,327,0.5007374145507812,True,REGULAR,USD
META231027C00295000,2023-09-29 19:56:38+00:00,295.0,18.55,18.7,19.2,-3.8100014,-17.039362,81.0,342,0.5010425872802735,True,REGULAR,USD
META231027C00300000,2023-09-29 19:58:51+00:00,300.0,16.35,16.1,16.55,-2.1499996,-11.62162,162.0,1176,0.4962818927001954,True,REGULAR,USD
