contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
META231027P00140000,2023-09-22 18:33:03+00:00,140.0,0.08,0.0,0.07,0.0,0.0,,6,0.9687503125,False,REGULAR,USD
META231027P00150000,2023-09-15 19:34:10+00:00,150.0,0.08,0.01,0.08,0.0,0.0,,2,0.9062509375,False,REGULAR,USD
META231027P00160000,2023-09-20 16:12:11+00:00,160.0,0.08,0.0,0.06,0.0,0.0,,1,0.79687703125,False,REGULAR,USD
META231027P00170000,2023-09-26 19:39:03+00:00,170.0,0.12,0.06,0.08,0.0,0.0,,1,0.78711150390625,False,REGULAR,USD
META231027P00175000,2023-09-28 19:47:38+00:00,175.0,0.13,0.07,0.1,0.0,0.0,1.0,4,0.7656273437500001,False,REGULAR,USD
META231027P00180000,2023-09-29 13:30:03+00:00,180.0,0.13,0.09,0.16,-0.050000012,-27.777782,1.0,7,0.76367423828125,False,REGULAR,USD
META231027P00185000,2023-09-28 15:48:17+00:00,185.0,0.16,0.12,0.18,0.0,0.0,1.0,3,0.7421900781249999,False,REGULAR,USD
META231027P00190000,2023-09-27 15:51:12+00:00,190.0,0.23,0.14,0.22,0.0,0.0,1.0,216,0.7216824707031251,False,REGULAR,USD
META231027P00195000,2023-09-28 13:45:26+00:00,195.0,0.29,0.18,0.23,0.0,0.0,1.0,114,0.6962920996093751,False,REGULAR,USD
META231027P00200000,2023-09-29 15:28:55+00:00,200.0,0.21,0.2,0.27,-0.11,-34.375,59.0,88,0.6728548339843752,False,REGULAR,USD
META231027P00205000,2023-09-29 14:46:26+00:00,205.0,0.24,0.25,0.32,-0.10000001,-29.411766,30.0,210,0.6543003320312502,False,REGULAR,USD
META231027P00210000,2023-09-29 15:00:27+00:00,210.0,0.29,0.3,0.38,-0.09,-23.684212,30.0,180,0.6342810009765626,False,REGULAR,USD
META231027P00215000,2023-09-28 16:28:36+00:00,215.0,0.42,0.38,0.46,0.0,0.0,9.0,69,0.6181678808593751,False,REGULAR,USD
META231027P00220000,2023-09-29 15:59:09+00:00,220.0,0.44,0.47,0.56,-0.100000024,-18.518522,33.0,49,0.6015664843750002,False,REGULAR,USD
META231027P00225000,2023-09-29 19:48:36+00:00,225.0,0.62,0.6,0.68,-0.050000012,-7.462688,15.0,97,0.5864299169921875,False,REGULAR,USD
META231027P00230000,2023-09-29 19:48:36+00:00,230.0,0.76,0.75,0.88,0.0,0.0,76.0,542,0.5749554223632812,False,REGULAR,USD
META231027P00235000,2023-09-29 19:39:30+00:00,235.0,0.96,0.2,1.13,-0.030000031,-3.030306,14.0,370,0.5151415673828125,False,REGULAR,USD
META231027P00240000,2023-09-29 19:52:04+00:00,240.0,1.17,1.13,1.38,-0.03000009,-2.5000074,53.0,391,0.5473678076171876,False,REGULAR,USD
META231027P00245000,2023-09-29 19:59:26+00:00,245.0,1.55,1.45,1.61,0.00999999,0.64935005,105.0,305,0.5319871020507813,False,REGULAR,USD
META231027P00250000,2023-09-29 19:57:45+00:00,250.0,1.97,1.89,2.01,0.14999998,8.241757,51.0,537,0.5231981274414061,False,REGULAR,USD
META231027P00255000,2023-09-29 19:56:02+00:00,255.0,2.5,2.4,2.52,0.19000006,8.225111,117.0,1652,0.5140429455566407,False,REGULAR,USD
META231027P00260000,2023-09-29 19:39:30+00:00,260.0,3.07,3.0,3.15,0.26,9.252669,66.0,1491,0.504765694580078,False,REGULAR,USD
META231027P00265000,2023-09-29 19:54:19+00:00,265.0,3.85,3.75,3.95,0.5,14.925374,70.0,1299,0.5018970709228516,False,REGULAR,USD
META231027P00270000,2023-09-29 19:05:05+00:00,270.0,4.47,4.65,4.85,0.19999981,4.683836,92.0,839,0.4925587854003906,False,REGULAR,USD
META231027P00275000,2023-09-29 19:57:31+00:00,275.0,5.89,5.75,6.1,0.6700001,12.835251,187.0,720,0.4904836108398438,False,REGULAR,USD
META231027P00280000,2023-09-29 19:59:50+00:00,280.0,7.2,7.05,7.45,0.52999973,7.9460225,375.0,843,0.4842580871582032,False,REGULAR,USD
META231027P00285000,2023-09-29 19:57:06+00:00,285.0,8.8,8.6,8.85,0.7300005,9.045855,207.0,794,0.4726004888916015,False,REGULAR,USD
META231027P00290000,2023-09-29 19:59:26+00:00,290.0,10.49,10.35,10.75,1.04,11.005291,80.0,740,0.4701591070556641,False,REGULAR,USD
META231027P00295000,2023-09-29 19:59:26+00:00,295.0,12.46,12.25,12.8,1.0900002,9.586633,104.0,371,0.4645439288330079,False,REGULAR,USD
META231027P00300000,2023-09-29 19:59:26+00:00,300.0,14.76,14.6,15.05,1.4899998,11.2283325,164.0,742,0.4573418524169922,False,REGULAR,USD
META231027P00305000,2023-09-29 19:59:26+00:00,305.0,17.26,17.1,17.6,1.6599998,10.641025,108.0,266,0.4514825360107422,True,REGULAR,USD
META231027P00310000,2023-09-29 19:59:26+00:00,310.0,19.9,19.75,20.4,1.6900005,9.280619,851.0,242,0.4452570123291015,True,REGULAR,USD
META231027P00320000,2023-09-29 17:19:31+00:00,320.0,25.41,26.15,26.8,1.8600006,7.8980923,5.0,166,0.4340266558837891,True,REGULAR,USD
