,strike,bid,ask
42,490.0,84.2,84.9
43,495.0,80.2,80.75
44,500.0,76.25,76.85
45,505.0,72.15,72.85
46,510.0,68.3,68.85
48,520.0,60.95,61.55
50,530.0,54.0,54.5
51,535.0,50.7,51.2
52,540.0,47.45,48.2
53,545.0,44.45,45.05
54,550.0,41.05,41.95
55,555.0,38.85,39.05
56,560.0,36.05,36.4
57,565.0,33.55,33.9
58,570.0,31.25,31.45
59,575.0,28.85,29.15
60,580.0,26.75,27.05
61,585.0,24.7,24.95
62,590.0,22.8,23.15
63,595.0,21.1,21.4
64,600.0,19.35,19.75
65,605.0,17.85,18.1
66,610.0,16.4,16.7
67,615.0,15.05,15.3
68,620.0,13.8,14.0
69,625.0,12.6,12.8
70,630.0,11.5,11.8
71,635.0,10.55,10.8
72,640.0,9.65,9.85
73,645.0,8.75,9.05
74,650.0,8.0,8.25
75,655.0,7.25,7.5
76,660.0,6.6,6.85
77,665.0,6.0,6.25
78,670.0,5.45,5.85
79,675.0,4.95,5.3
80,680.0,4.5,4.75
81,685.0,4.1,4.3
82,690.0,3.7,3.95
83,695.0,3.35,3.6
84,700.0,3.1,3.3
85,705.0,2.79,3.0
86,710.0,2.56,2.75
87,715.0,2.33,2.53
88,720.0,2.09,2.31
89,725.0,1.92,2.08
90,730.0,1.75,1.91
91,740.0,1.44,1.65
92,745.0,1.31,1.51
93,750.0,1.18,1.39
94,760.0,0.98,1.18
95,770.0,0.8,0.98
96,780.0,0.66,0.83
97,785.0,0.59,0.77
98,800.0,0.44,0.63
99,840.0,0.18,0.37
100,850.0,0.14,0.32
101,860.0,0.1,0.29
102,900.0,0.01,0.2
