,strike,bid,ask
0,100.0,0.0,0.02
1,115.0,0.0,0.04
2,125.0,0.0,0.06
3,135.0,0.0,0.02
4,160.0,0.0,0.03
5,165.0,0.0,0.04
6,195.0,0.0,0.26
7,200.0,0.0,0.04
8,205.0,0.0,0.02
9,210.0,0.0,0.06
10,215.0,0.0,0.01
11,220.0,0.0,0.01
12,225.0,0.0,0.02
13,230.0,0.0,0.01
14,235.0,0.0,0.04
15,240.0,0.0,0.04
16,245.0,0.0,0.01
17,250.0,0.0,0.01
18,255.0,0.12,0.2
19,260.0,0.0,0.01
20,265.0,0.0,0.01
21,270.0,0.0,0.01
22,275.0,0.0,0.01
23,280.0,0.0,0.01
24,285.0,0.0,0.01
25,290.0,0.0,0.01
26,295.0,0.0,0.01
27,300.0,0.0,0.01
28,305.0,0.0,0.01
29,310.0,0.0,0.01
30,315.0,0.0,0.01
31,320.0,0.0,0.01
32,325.0,0.0,0.01
33,330.0,0.0,0.01
34,335.0,0.0,0.01
35,340.0,0.0,0.01
36,345.0,0.0,0.01
37,350.0,0.0,0.01
38,355.0,0.0,0.01
39,360.0,0.0,0.01
40,365.0,0.0,0.01
41,370.0,0.0,0.01
42,375.0,0.0,0.01
43,380.0,0.0,0.01
44,385.0,0.0,0.01
45,390.0,0.0,0.01
46,395.0,0.0,0.02
47,400.0,0.0,0.01
48,405.0,0.0,0.01
49,410.0,0.0,0.02
50,415.0,0.0,0.02
51,420.0,0.0,0.02
52,425.0,0.0,0.02
53,430.0,0.01,0.02
54,435.0,0.01,0.02
55,440.0,0.01,0.02
56,445.0,0.01,0.02
57,450.0,0.01,0.03
58,455.0,0.01,0.03
59,460.0,0.02,0.04
60,462.5,0.02,0.04
61,465.0,0.02,0.05
62,467.5,0.03,0.05
63,470.0,0.04,0.05
64,472.5,0.04,0.06
65,475.0,0.04,0.06
66,477.5,0.04,0.07
67,480.0,0.05,0.07
68,482.5,0.06,0.08
69,485.0,0.06,0.08
70,487.5,0.07,0.09
71,490.0,0.08,0.1
72,492.5,0.09,0.11
73,495.0,0.1,0.12
74,497.5,0.12,0.13
75,500.0,0.13,0.15
76,502.5,0.15,0.17
77,505.0,0.16,0.18
78,507.5,0.18,0.21
79,510.0,0.2,0.23
80,515.0,0.26,0.29
81,520.0,0.35,0.37
82,525.0,0.49,0.5
83,530.0,0.66,0.7
84,535.0,0.96,1.01
85,540.0,1.41,1.48
86,545.0,2.18,2.27
87,550.0,3.25,3.4
88,555.0,4.9,5.05
89,560.0,7.0,7.1
90,565.0,9.65,9.85
91,570.0,12.8,13.2
92,575.0,16.35,16.9
93,580.0,20.3,20.9
95,590.0,28.6,29.55
